date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:03	105863/105863	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202024%2018:46:57%20GMT	https://tutorial.iptvmn.ca/	D:/projects/IPTV/tutorial%20iptv/tutorial/tutorial.iptvmn.ca/index.html	(from )
20:00:03	108/108	---MCZ	200	added ('OK')	text/plain	date:Mon,%2030%20Dec%202024%2019:00:02%20GMT	https://tutorial.iptvmn.ca/robots.txt		(from )
20:00:03	86029/86029	---MCZ	200	added ('OK')	text/css	etag:W/%2281f35ce0cc0d141b14aabe62e6142b79%22	https://static.gitbook.com/_next/static/css/d8ee58b4c18e8f97.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/d8ee58b4c18e8f97.css	(from https://tutorial.iptvmn.ca/)
20:00:04	20232/20232	---MCZ	200	added ('OK')	text/css	etag:W/%22cb71ca393625d8b3be957824e82f6511%22	https://static.gitbook.com/_next/static/css/ef37bb7b24bfe0d4.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/ef37bb7b24bfe0d4.css	(from https://tutorial.iptvmn.ca/)
20:00:04	115331/115331	---MCZ	200	added ('OK')	text/css	etag:W/%2232ea4c6c0e7624c52666d6d93f8c1ec6%22	https://static.gitbook.com/_next/static/css/3e88f7d072655114.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/3e88f7d072655114.css	(from https://tutorial.iptvmn.ca/)
20:00:04	159/159	---MCZ	200	added ('OK')	text/css	etag:W/%22364b2d277bf4a05a73929b8017a11307%22	https://static.gitbook.com/_next/static/css/c311d6484335995a.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/c311d6484335995a.css	(from https://tutorial.iptvmn.ca/)
20:00:04	1976/1976	---MCZ	200	added ('OK')	text/css	etag:W/%22e0b0a0d5bf5d222bc736de7f23e3e5b3%22	https://static.gitbook.com/_next/static/css/948a4dad6f86b076.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/948a4dad6f86b076.css	(from https://tutorial.iptvmn.ca/)
20:00:05	28677/28677	---MCZ	200	added ('OK')	text/css	etag:W/%2289f645acca45bfd06368ab4f93bdf7e4%22	https://static.gitbook.com/_next/static/css/7235fa9d119901d4.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/7235fa9d119901d4.css	(from https://tutorial.iptvmn.ca/)
20:00:05	80285/80285	---MCZ	200	added ('OK')	text/css	etag:W/%22c600b2ab2b7f888009bb0ec7eb0b025e%22	https://static.gitbook.com/_next/static/css/86d6274f3e6d760c.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/86d6274f3e6d760c.css	(from https://tutorial.iptvmn.ca/)
20:00:05	156752/156752	---MCZ	200	added ('OK')	text/css	etag:W/%2227ce620e00acbd94a40a137362ece35c%22	https://static.gitbook.com/_next/static/css/22de5ebb4bb9d8a7.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/22de5ebb4bb9d8a7.css	(from https://tutorial.iptvmn.ca/)
20:00:05	9849/9849	---MCZ	200	added ('OK')	text/css	etag:W/%224ec2963587336a525fa6e977f4e75194%22	https://static.gitbook.com/_next/static/css/00f317031ba0dc0e.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/00f317031ba0dc0e.css	(from https://tutorial.iptvmn.ca/)
20:00:05	139/139	---MCZ	200	added ('OK')	text/css	etag:W/%221c37a7a1d40c67136443657ad9b33dc0%22	https://static.gitbook.com/_next/static/css/0f891de5863d7182.css	D:/projects/IPTV/tutorial%20iptv/tutorial/static.gitbook.com/_next/static/css/0f891de5863d7182.css	(from https://tutorial.iptvmn.ca/)
